Ottoneu Positions,HR_SGP_Val_mySGP,HR_SGP_norm_mySGP,HR_SGP_raw_mySGP,HR_mySGP,OBP_SGP_Val_mySGP,OBP_SGP_norm_mySGP,OBP_SGP_raw_mySGP,OBP_mySGP,R_SGP_Val_mySGP,R_SGP_norm_mySGP,R_SGP_raw_mySGP,R_mySGP,SLG_SGP_Val_mySGP,SLG_SGP_norm_mySGP,SLG_SGP_raw_mySGP,SLG_mySGP,TOTAL_SGP_Val_mySGP,mHR_FGAV,mOBP_FGAV,mR_FGAV,mSLG_FGAV,ERA_SGP_Val_mySGP,ERA_SGP_norm_mySGP,ERA_SGP_raw_mySGP,ERA_mySGP,HR9_SGP_Val_mySGP,HR9_SGP_norm_mySGP,HR9_SGP_raw_mySGP,HR9_mySGP,SO_SGP_Val_mySGP,SO_SGP_norm_mySGP,SO_SGP_raw_mySGP,SO_mySGP,WHIP_SGP_Val_mySGP,WHIP_SGP_norm_mySGP,WHIP_SGP_raw_mySGP,WHIP_mySGP,mERA_FGAV,mSO_FGAV,mWHIP_FGAV
C,-0.6232615365511311,-0.0317437257393208,1.0987386871120868,12.644728,2.387494797401017,0.06690269325054024,-0.14264591479328223,0.3122998870764631,1.8676774378528709,0.0912243015987168,1.8763995331083738,47.440104,2.7000739570117664,0.09267064636849785,-0.12560278312790163,0.40371256774696923,0.9333332418262099,-2.8435823487454597,-3.733852082555252,-1.642164114841134,-3.8953462698575168,,,,,,,,,,,,,,,,,,,
1B,3.4596471638022814,0.17620546798101536,1.591034605330416,18.310268,8.817018007574209,0.2470716383496887,0.020912167919689063,0.3271918657769214,5.766341812349276,0.28164954715937435,2.5648738518559546,64.846468,8.19987667866834,0.2814322437282985,0.00463858112620426,0.4256285238007565,3.6247176258112765,-1.62038805644134,-0.7310294181961506,-0.8172196933568694,-1.341111325994543,,,,,,,,,,,,,,,,,,,
2B,1.936013368861655,0.09860431585250115,1.0375503556042371,11.940548000000001,11.770592822703886,0.3298371003160344,-0.03915201356864472,0.3226290028435697,2.26315945932059,0.11054111213143762,2.4491486673673775,61.920644,6.293648325375839,0.21600758631592237,-0.18027680771668073,0.39394290267478627,2.5093414962645384,-3.46994021641829,-1.720292456078628,-0.9458081523412265,-3.6453455823998864,,,,,,,,,,,,,,,,,,,
SS,-1.7083171796236365,-0.08700737787513702,0.7982764343190962,9.1868872,7.709754993474178,0.2160437685253674,-0.23305522118361358,0.30683639566322285,-0.7967077029269615,-0.038914162748244,1.977415739337283,49.994048,3.364829309195527,0.11548606148103993,-0.3099780747280067,0.3748616752635431,0.4088572763848991,-5.212238373157178,-4.185471610608044,-1.8821959049452717,-5.2507760322289005,,,,,,,,,,,,,,,,,,,
3B,5.358366754387193,0.27291035093099725,1.5258269499817483,17.559832,8.506585473941254,0.23837265705965943,-0.057152841695235435,0.32317399851518896,4.565641546412934,0.22300288742601143,2.4474681385185644,61.878156000000004,8.202604039286168,0.28152585089438287,-0.07739374366867109,0.41617696155484596,4.677238382067429,-0.9128567428366592,-1.105845011510404,-0.15449455859133332,-1.611398428240338,,,,,,,,,,,,,,,,,,,
MI,-0.7392340547583278,-0.03765039508336368,0.9429624735304876,10.8519925,7.458295589651714,0.20899734003588483,-0.1615842960401865,0.3110367667907319,-0.7313078851979903,-0.035719792791155724,2.1198727554350874,53.59572000000001,4.721523433589116,0.1620498680410057,-0.21101245729745255,0.38618923814170186,-0.012989376649948401,-4.862030899656552,-3.6462445076542913,-1.9013193167942268,-4.382142991826519,,,,,,,,,,,,,,,,,,,
OF,-0.19815684936515843,-0.010092451259583581,1.0396969609346498,11.965252000000001,7.797003703901768,0.2184886633651788,-0.15468609630488678,0.3135273604695662,-0.7421830984621633,-0.03625097859158054,2.0905405498700054,52.854128,7.8283732969709785,0.268681682425867,-0.1405790037473754,0.3987261666485435,1.4240381564044657,-4.048301486118399,-3.376105374337398,-1.6085332871067675,-3.675052029223174,,,,,,,,,,,,,,,,,,,
Util,-3.555559118873486,-0.18109042015334093,0.9316798919313636,10.722147999999999,4.532086167185439,0.1269987147022443,-0.18089233359695123,0.3096301301042064,-4.689998976140988,-0.2290769660895065,1.9077478353709172,48.232668,4.773634201102258,0.16383838886861515,-0.18885094471915703,0.39118193528668777,-1.5549403604343213,-5.060011950571956,-4.013438859589181,,-4.373663673397152,,,,,,,,,,,,,,,,,,,
SP,,,,,,,,,,,,,,,,,0.2970165020200457,,,,,2.4044621125273142,0.07036748463826285,-0.2041371013599053,4.043461432793974,-14.08216519663075,-0.21703664862821484,-0.22872676265930214,1.1339652174238823,1.1577504194029986,0.08042369170530442,1.8404073822067577,87.461188,3.2008805391839865,0.09435763027121546,-0.23398581226328768,1.2684677523340704,-14.744998425926626,2.7150975653832097,-12.96766920587046
RP,,,,,,,,,,,,,,,,,1.1625651058157276,-2.452227536095429,,,,3.5942726063353296,0.10518773454333533,0.2327058864177462,4.365786186687967,18.890310480825008,0.29114057540566474,0.5507017241458119,1.2492977414670328,0.32472536940051266,0.0225572045234279,1.5193021101059638,72.20138800000001,6.166970889942564,0.18179396325577823,0.2567408501080578,1.3663763128973112,-0.8827699906706259,-2.930903655915359,-1.3323125560813418
P,,,,,,,,,,,,,,,,,-2.179136388532144,,,,,-1.9296458487604944,-0.05647180877274034,-0.0916351493034705,4.1411285933988875,-6.735666023947242,-0.10381119378334007,0.01825019065998846,1.1608115397363719,-0.6580982882565746,-0.045715115243773585,1.4704359807761815,69.879136,0.956884345988495,0.028207656682530856,-0.15679460405819434,1.307029314314481,-6.324929675643617,-2.729324037645087,-5.284793146840278
