TEAM,G,R,HR,OBP,SLG,IP,K,HR9,ERA,WHIP
St. CGT VI,1944,1062,306,0.34046,0.43600,1475.2,1632,1.01852,3.45810,1.14660
The Rime of Jamie Moyer,1889,1118,359,0.33645,0.46971,1499.2,1509,1.12225,3.61880,1.18293
Hornswogglers,1931,1067,313,0.33533,0.44238,1505.0,1619,1.05847,3.77342,1.21595
Largely Indistinguishables,1806,942,220,0.32933,0.41728,1500.0,1694,0.90000,2.87400,1.07600
Carlos Pérez's K-Dance,1765,955,297,0.31807,0.43939,1262.2,1252,0.84820,3.14335,1.16816
Roberto Big Piece and the 69ers,1763,961,311,0.33766,0.46480,1322.0,1297,1.05522,4.11876,1.27837
Yoshi Teddy Bear,1891,986,302,0.32956,0.44053,1486.0,1561,1.20525,3.98520,1.20592
Smoak and Mirrors,1827,979,260,0.33567,0.43258,1350.1,1315,1.12639,3.86571,1.16860
Roar from 34,1889,970,246,0.32180,0.42537,1350.1,1448,1.07307,3.67243,1.23007
Jack Klugman's Second Best Lung,1729,867,267,0.32655,0.43281,1107.1,1137,1.20289,4.23450,1.25707
Chili Dog MVP,1826,861,231,0.30876,0.40795,1250.1,1172,1.20208,4.06692,1.26206
🦫 Beavers in Scoring Position!,1790,890,266,0.31665,0.41106,1166.2,1120,1.18029,4.18886,1.33286