otto,Name,Team,Pos,$
33600,Shohei Ohtani,LAD,Util,85.2
18312,Aaron Judge,NYY,OF,70.4
23717,Juan Soto,NYM,OF,58.4
35204,Tarik Skubal,DET,SP,52.1
43894,Paul Skenes,PIT,SP,50.7
18347,Kyle Schwarber,PHI,OF,43.2
23327,Ronald Acuña Jr.,ATL,OF,42.9
38312,Garrett Crochet,BOS,SP,40.8
23795,Yordan Alvarez,HOU,OF,39.1
18549,Vladimir Guerrero Jr.,TOR,1B,39.0
18546,Kyle Tucker,LAD,OF,38.9
45716,Nick Kurtz,ATH,1B,38.3
36668,Bobby Witt Jr.,KCR,SS,37.5
18466,Ketel Marte,ARI,2B,35.4
23682,Fernando Tatis Jr.,SDP,OF,35.0
20975,Cristopher Sánchez,PHI,SP,34.7
21015,Logan Webb,SFG,SP,34.5
23793,Brent Rooker,ATH,OF,33.9
14393,Chris Sale,ATL,SP,33.3
33654,Cal Raleigh,SEA,C,32.3
37806,Gunnar Henderson,BAL,SS,32.0
37182,Corbin Carroll,ARI,OF,31.8
23859,Pete Alonso,BAL,1B,31.8
39108,Junior Caminero,TBR,3B,31.7
44525,Yoshinobu Yamamoto,LAD,SP,31.2
18284,José Ramírez,CLE,3B,30.7
18344,Rafael Devers,SFG,1B,30.7
14982,Bryce Harper,PHI,1B,30.4
33625,Julio Rodríguez,SEA,OF,30.3
18164,Max Fried,NYY,SP,29.4
41042,Bryan Woo,SEA,SP,28.1
23625,Cole Ragans,KCR,SP,28.1
18216,Corey Seager,TEX,SS,28.0
22426,Framber Valdez,DET,SP,27.4
18386,Matt Olson,ATL,1B,27.0
33682,Logan Gilbert,SEA,SP,26.9
37201,Hunter Brown,HOU,SP,26.5
5680,Freddie Freeman,LAD,1B,26.4
40188,James Wood,WSN,OF,25.3
36509,Riley Greene,DET,OF,24.8
37841,Michael Busch,CHC,1B,24.6
18276,Mookie Betts,LAD,SS,24.5
18122,Francisco Lindor,NYM,SS,24.4
18124,George Springer,TOR,OF,24.4
14294,Jacob deGrom,TEX,SP,24.4
43896,Wyatt Langford,TEX,OF,24.3
18163,Byron Buxton,MIN,OF,24.3
15962,Zack Wheeler,PHI,SP,23.7
36338,Elly De La Cruz,CIN,SS,23.5
42409,Roman Anthony,BOS,OF,23.5
40927,Seiya Suzuki,CHC,OF,22.9
23741,Jesús Luzardo,PHI,SP,22.8
42156,Zach Neto,LAA,SS,22.4
9668,Eugenio Suárez,CIN,3B,22.0
36671,George Kirby,SEA,SP,21.5
22048,Taylor Ward,BAL,OF,21.4
18460,Blake Snell,LAD,SP,21.4
21052,Dylan Cease,TOR,SP,21.3
40255,Ben Rice,NYY,C,21.2
22674,Austin Riley,ATL,3B,21.0
39277,Jackson Chourio,MIL,OF,21.0
23762,Jazz Chisholm Jr.,NYY,2B,21.0
6305,Mike Trout,LAA,OF,20.6
36669,Shea Langeliers,ATH,C,20.5
23824,Hunter Greene,CIN,SP,19.8
9335,Nathan Eovaldi,TEX,SP,19.8
18368,Trea Turner,PHI,SS,19.5
18517,Yandy Díaz,TBR,1B,19.3
37094,Vinnie Pasquantino,KCR,1B,19.2
14934,Manny Machado,SDP,3B,19.0
38388,Tyler Soderstrom,ATH,OF,18.8
37480,Kyle Stowers,MIA,OF,18.7
40142,Jackson Merrill,SDP,OF,18.6
35922,Drew Rasmussen,TBR,SP,18.6
35874,Kyle Bradish,BAL,SP,18.5
23651,Teoscar Hernández,LAD,OF,18.4
23654,Will Smith,LAD,C,18.3
18479,Ian Happ,CHC,OF,18.3
18407,Willy Adames,SFG,SS,18.3
18113,Sonny Gray,BOS,SP,18.1
40389,Hunter Goodman,COL,C,17.9
32009,José Soriano,LAA,SP,17.8
22391,William Contreras,MIL,C,17.7
18378,Matt Chapman,SFG,3B,17.7
31194,Ranger Suarez,BOS,SP,17.6
18480,Alex Bregman,CHC,3B,17.5
35196,Joe Ryan,MIN,SP,17.5
23792,Jo Adell,LAA,OF,17.3
23840,Randy Arozarena,SEA,OF,17.3
19328,Cody Bellinger,NYY,OF,17.3
18236,Tyler Glasnow,LAD,SP,17.2
19168,Freddy Peralta,NYM,SP,17.1
37174,Matt Wallner,MIN,OF,17.0
38320,Spencer Torkelson,DET,1B,17.0
12398,Willson Contreras,BOS,1B,17.0
40862,Mason Miller,SDP,RP,17.0
48240,Munetaka Murakami,CHW,3B,16.9
14893,Christian Yelich,MIL,OF,16.8
18126,Brandon Nimmo,TEX,OF,16.8
45706,Chase Burns,CIN,RP/SP,16.6
44336,Nolan McLean,NYM,SP,16.3
5918,Jose Altuve,HOU,2B,16.2
33685,Jarren Duran,BOS,OF,15.8
27058,Wilyer Abreu,BOS,OF,15.6
37300,Kerry Carpenter,DET,OF,15.6
18547,Trent Grisham,NYY,OF,15.6
33217,Jonathan Aranda,TBR,1B,15.4
26198,Geraldo Perdomo,ARI,SS,15.3
18487,Gleyber Torres,DET,2B,15.2
33949,Andy Pages,LAD,OF,15.2
23767,Bo Bichette,NYM,SS,15.2
23693,Brandon Woodruff,MIL,SP,15.1
32291,Oneil Cruz,PIT,OF,14.8
18255,Max Muncy,LAD,3B,14.2
35566,Kris Bubic,KCR,RP/SP,14.2
31751,Michael King,SDP,SP,14.2
33647,Shane McClanahan,TBR,SP,14.2
38327,Pete Crow-Armstrong,CHC,OF,14.1
22655,Josh Naylor,SEA,1B,14.1
31741,Brandon Lowe,PIT,2B,14.0
35939,Jeremy Peña,HOU,SS,14.0
18196,Kevin Gausman,TOR,SP,14.0
26099,Iván Herrera,STL,C,13.9
38754,Cade Smith,CLE,RP,13.9
38736,Spencer Strider,ATL,SP,13.9
23834,Heliot Ramos,SFG,OF,13.8
38559,Eury Pérez,MIA,SP,13.7
40508,Kyle Manzardo,CLE,1B,13.5
23833,Daulton Varsho,TOR,OF,13.5
45790,Trey Yesavage,TOR,RP/SP,13.2
23810,MacKenzie Gore,TEX,SP,13.0
6130,Marcell Ozuna,PIT,Util,12.9
13217,Jorge Polanco,NYM,2B,12.7
23825,Bryan Reynolds,PIT,OF,12.7
40552,Emmet Sheehan,LAD,RP/SP,12.7
19398,Nick Pivetta,SDP,SP,12.5
23639,Mickey Moniak,COL,OF,12.2
38368,Alec Burleson,STL,OF,12.1
34788,Lawrence Butler,ATH,OF,12.0
48239,Kazuma Okamoto,TOR,3B,11.9
42221,Drake Baldwin,ATL,C,11.9
22559,Jhoan Duran,PHI,RP,11.7
23831,Isaac Paredes,HOU,3B,11.5
35628,Ezequiel Tovar,COL,SS,11.4
33325,Edward Cabrera,CHC,SP,11.4
18389,Christian Walker,HOU,1B,11.3
18506,Dansby Swanson,CHC,SS,11.3
23732,Luis Castillo,SEA,SP,11.3
8626,Salvador Perez,KCR,C,11.1
21200,Ramón Laureano,SDP,OF,11.1
31541,David Peterson,NYM,SP,11.1
18465,Matthew Boyd,CHC,SP,11.1
23601,Edwin Díaz,LAD,RP,11.0
20920,Jack Flaherty,DET,SP,11.0
44544,Grant Taylor,CHW,RP/SP,10.8
33259,Andrés Muñoz,SEA,RP,10.8
23790,Clay Holmes,NYM,SP,10.7
36922,CJ Abrams,WSN,SS,10.5
39978,Colton Cowser,BAL,OF,10.5
37295,Michael Harris II,ATL,OF,10.5
42358,Sal Stewart,CIN,3B,10.4
23745,Adolis García,PHI,OF,10.4
44057,Luke Keaschall,MIN,2B,10.3
5201,Giancarlo Stanton,NYY,OF,10.3
35776,Braxton Ashcraft,PIT,RP/SP,10.3
40978,Tanner Bibee,CLE,SP,10.2
33634,Brice Turang,MIL,2B,10.1
18160,Carlos Correa,HOU,SS,10.0
38374,Colt Keith,DET,2B,10.0
42711,Jacob Misiorowski,MIL,RP/SP,10.0
26154,Maikel Garcia,KCR,SS,9.9
44003,Jacob Wilson,ATH,SS,9.9
40941,Gavin Williams,CLE,SP,9.9
31438,Griffin Jax,TBR,RP,9.9
18152,Josh Bell,MIN,1B,9.8
19268,Devin Williams,NYM,RP,9.7
38398,Jordan Westburg,BAL,2B,9.6
18162,Jorge Soler,LAA,OF,9.6
36686,Nick Lodolo,CIN,SP,9.5
20900,Bryan Abreu,HOU,RP,9.4
43589,Cam Schlittler,NYY,SP,9.3
23809,Jake Burger,TEX,1B,9.2
23814,Shane Bieber,TOR,SP,9.2
18263,Marcus Semien,NYM,2B,9.1
21156,Ryan O'Hearn,PIT,OF,9.0
37649,Ryan Pepiot,TBR,SP,8.8
35602,Abner Uribe,MIL,RP,8.8
34601,Lars Nootbaar,STL,OF,8.7
18153,Trevor Story,BOS,SS,8.7
20732,Sandy Alcantara,MIA,SP,8.7
43932,Nolan Schanuel,LAA,1B,8.6
27148,Joey Cantillo,CLE,RP/SP,8.6
34804,Miguel Vargas,CHW,3B,8.5
42737,Spencer Schwellenbach,ATL,SP,8.4
5644,Aroldis Chapman,BOS,RP,8.4
42723,Kodai Senga,NYM,RP/SP,8.3
34619,Brendan Donovan,SEA,SS,8.2
18359,Carlos Rodón,NYY,SP,8.2
18462,Joe Musgrove,SDP,SP,8.2
37257,Adley Rutschman,BAL,C,8.1
33612,Grayson Rodriguez,LAA,SP,8.0
21039,Justin Steele,CHC,SP,7.9
18397,Ozzie Albies,ATL,2B,7.8
33607,Trevor Rogers,BAL,SP,7.8
21708,Willi Castro,COL,2B,7.7
18116,Gerrit Cole,NYY,SP,7.7
45720,Jac Caglianone,KCR,OF,7.6
36803,Brenton Doyle,COL,OF,7.5
42719,Cade Horton,CHC,SP,7.5
23779,Zac Gallen,ARI,SP,7.5
17763,Merrill Kelly,ARI,SP,7.5
40371,Matt McLain,CIN,2B,7.4
19296,Tyler O'Neill,BAL,OF,7.4
23780,Luis Robert Jr.,NYM,OF,7.3
18257,Sean Manaea,NYM,RP/SP,7.3
27207,Alejandro Kirk,TOR,C,7.2
26292,Yainer Diaz,HOU,C,7.2
42592,Shane Smith,CHW,SP,7.2
35824,Steven Kwan,CLE,OF,7.1
37234,Matt Brash,SEA,RP,7.1
23868,Brandon Marsh,PHI,OF,7.0
40262,Colson Montgomery,CHW,SS,7.0
18415,Reynaldo López,ATL,RP/SP,7.0
23723,Braxton Garrett,MIA,RP/SP,7.0
34817,Addison Barger,TOR,OF,6.6
18383,Mike Yastrzemski,ATL,OF,6.6
21961,Cody Ponce,TOR,RP/SP,6.6
23788,TJ Friedl,CIN,OF,6.5
13117,Xander Bogaerts,SDP,SS,6.4
42126,Jackson Holliday,BAL,SS,6.4
33619,Jonathan India,KCR,2B,6.4
27185,Garrett Whitlock,BOS,RP,6.4
34396,Jose A. Ferrer,SEA,RP,6.4
42277,Jordan Beck,COL,OF,6.3
40564,Bubba Chandler,PIT,RP/SP,6.3
23794,Shane Baz,BAL,SP,6.2
37427,Francisco Alvarez,NYM,C,6.1
42169,Jakob Marsee,MIA,OF,6.1
19520,Gabe Speier,SEA,RP,6.1
40714,Daylen Lile,WSN,OF,5.9
18644,Jeff McNeil,ATH,2B,5.8
33907,Ceddanne Rafaela,BOS,2B,5.8
31951,David Bednar,NYY,RP,5.8
40820,Landen Roupp,SFG,RP/SP,5.8
27208,Jeremiah Estrada,SDP,RP,5.8
33609,Alec Bohm,PHI,3B,5.7
26446,Will Vest,DET,RP,5.7
33548,Luis García Jr.,WSN,2B,5.6
36325,Agustín Ramírez,MIA,C,5.6
22004,Jake Cronenworth,SDP,SS,5.5
14895,Joc Pederson,TEX,Util,5.5
37091,Spencer Horwitz,PIT,1B,5.5
20421,Garrett Cleavinger,TBR,RP,5.4
18357,Aaron Nola,PHI,SP,5.4
42765,Parker Messick,CLE,SP,5.4
14941,Robbie Ray,SFG,SP,5.3
44515,Connelly Early,BOS,RP/SP,5.3
37469,Andrew Vaughn,MIL,1B,5.2
36030,Noelvi Marte,CIN,OF,5.2
37531,Bryson Stott,PHI,SS,5.2
38361,Jared Jones,PIT,SP,5.2
38328,Reid Detmers,LAA,RP/SP,5.2
26134,Gabriel Moreno,ARI,Util,5.0
33652,Ryan Jeffers,MIN,C,5.0
33670,Ryan Weathers,NYY,RP/SP,5.0
19422,Tyler Mahle,SFG,SP,5.0
33622,Trevor Larnach,MIN,OF,4.9
37181,Brett Baty,NYM,2B,4.9
36682,Quinn Priester,MIL,SP,4.9
23672,Adrian Morejon,SDP,RP,4.9
33616,Casey Mize,DET,SP,4.9
22331,Jesús Sánchez,TOR,OF,4.8
20917,Foster Griffin,WSN,RP/SP,4.8
18491,Andrew Benintendi,CHW,OF,4.7
20936,Mitch Keller,PIT,SP,4.7
33623,Nolan Gorman,STL,2B,4.6
20989,Trevor Megill,MIL,RP,4.6
38409,Ian Seymour,TBR,RP/SP,4.6
43949,Kyle Teel,CHW,C,4.5
48241,Tatsuya Imai,HOU,SP,4.5
23796,Royce Lewis,MIN,3B,4.2
18391,Josh Hader,HOU,RP,4.2
42653,Zebby Matthews,MIN,RP/SP,4.2
35205,Ryan Walker,SFG,RP,4.2
42312,Logan Henderson,MIL,RP/SP,4.1
42666,Orion Kerkering,PHI,RP,4.1
32611,Dustin May,STL,RP/SP,4.0
44524,Jung Hoo Lee,SFG,OF,3.9
33627,Nico Hoerner,CHC,2B,3.8
26857,Mark Vientos,NYM,3B,3.8
26734,Davis Schneider,TOR,2B,3.8
43950,Dylan Crews,WSN,OF,3.8
18283,Hunter Harvey,CHC,RP,3.8
40648,Michael McGreevy,STL,RP/SP,3.8
38403,Carmen Mlodzinski,PIT,RP/SP,3.7
22668,Michael Soroka,ARI,RP/SP,3.6
33767,Brayan Bello,BOS,SP,3.6
23813,Corbin Burnes,ARI,SP,3.5
23691,Matt Strahm,KCR,RP,3.5
40550,Bryce Miller,SEA,SP,3.4
33672,Aaron Ashby,MIL,RP,3.4
29222,Aaron Bummer,ATL,RP,3.3
44526,Shota Imanaga,CHC,SP,3.3
46091,Roki Sasaki,LAD,RP/SP,3.3
22078,Robert Suarez,ATL,RP,3.2
40398,Caleb Durbin,BOS,2B,3.1
37216,Spencer Steer,CIN,OF,3.1
42279,Dylan Beavers,BAL,OF,3.1
29992,José Alvarado,PHI,RP,3.1
32051,Camilo Doval,NYY,RP,3.1
27074,Ben Brown,CHC,RP/SP,3.1
22809,Phil Maton,CHC,RP,3.1
37826,Ryne Nelson,ARI,RP/SP,3.0
21075,Tanner Scott,LAD,RP,3.0
26570,Otto Lopez,MIA,SS,2.9
38334,Cade Cavalli,WSN,SP,2.9
22651,Ryan Helsley,BAL,RP,2.9
20435,Pete Fairbanks,MIA,RP,2.8
18398,Chris Bassitt,BAL,RP/SP,2.8
35811,Mike Burrows,HOU,RP/SP,2.7
27723,Jason Adam,SDP,RP,2.7
8550,Fernando Cruz,NYY,RP,2.6
18375,Grant Holmes,ATL,RP/SP,2.6
33395,Edwin Uceta,TBR,RP,2.6
43911,Hunter Barco,PIT,RP/SP,2.6
12379,Nolan Arenado,ARI,3B,2.5
44223,Kevin McGonigle,DET,SS,2.5
18422,Raisel Iglesias,ATL,RP,2.5
30833,Drew Anderson,DET,RP/SP,2.5
40155,Jack Leiter,TEX,SP,2.5
38781,Daniel Palencia,CHC,RP,2.5
38641,Jared Koenig,MIL,RP,2.4
35532,Alex Vesia,LAD,RP,2.4
38397,Joe Boyle,TBR,RP/SP,2.4
18364,Jeff Hoffman,TOR,RP,2.4
20545,Luis Arraez,SFG,2B,2.3
37797,JJ Bleday,CIN,OF,2.3
38389,Evan Carter,TEX,OF,2.3
14864,J.T. Realmuto,PHI,C,2.2
18272,J.P. Crawford,SEA,SS,2.2
23805,Austin Hays,CHW,OF,2.2
39288,Samuel Basallo,BAL,C,2.1
37210,Bryan King,HOU,RP,2.1
40308,Matt Svanson,STL,RP,2.1
23656,Lucas Erceg,KCR,RP,2.1
38404,Masyn Winn,STL,SS,2.0
21968,Harrison Bader,SFG,OF,2.0
23679,A.J. Minter,NYM,RP,2.0
37674,Tyler Holton,DET,RP/SP,2.0
43841,Jonah Tong,NYM,RP/SP,1.9
13962,Steven Matz,TBR,RP/SP,1.9
18455,Chris Martin,TEX,RP,1.9
42741,Robby Snelling,MIA,SP,1.9
35696,Jacob Lopez,ATH,SP,1.8
32719,Dylan Lee,ATL,RP,1.8
23818,JoJo Romero,STL,RP,1.7
31984,Robert Garcia,TEX,RP,1.7
19136,Gregory Soto,PIT,RP,1.7
23752,Josh Lowe,LAA,OF,1.5
40298,Sal Frelick,MIL,OF,1.5
37536,Dominic Canzone,SEA,OF,1.5
40476,Robert Gasser,MIL,RP/SP,1.5
18558,Shawn Armstrong,CLE,RP,1.5
40972,Will Warren,NYY,RP/SP,1.5
33656,Yusei Kikuchi,LAA,SP,1.4
42176,Chase DeLauter,CLE,OF,1.3
37700,Erik Miller,SFG,RP,1.3
22527,Eduard Bazardo,SEA,RP,1.3
22876,Patrick Sandoval,BOS,RP/SP,1.2
40607,Andrew Abbott,CIN,SP,1.2
22654,Tyler Stephenson,CIN,C,1.1
45769,Konnor Griffin,PIT,SS,1.1
31572,Gavin Sheets,SDP,OF,1.0
23722,Lourdes Gurriel Jr.,ARI,OF,1.0
45713,JJ Wetherholt,STL,SS,1.0
18328,Ryan McMahon,NYY,3B,1.0
31703,Tommy Edman,LAD,2B,1.0
23808,Pavin Smith,ARI,1B,1.0
33676,Bo Naylor,CLE,C,1.0
38317,Austin Wells,NYY,C,1.0
22616,Cedric Mullins,TBR,OF,1.0
26234,Wenceel Pérez,DET,OF,1.0
35487,Kody Clemens,MIN,2B,1.0
36683,Anthony Volpe,NYY,SS,1.0
20350,Rhys Hoskins,CLE,1B,1.0
26882,Tyler Freeman,COL,2B,1.0
35181,Logan O'Hoppe,LAA,C,1.0
37960,Josh Smith,TEX,SS,1.0
21041,Lane Thomas,KCR,OF,1.0
26080,Christopher Morel,MIA,OF,1.0
44147,Bryce Eldridge,SFG,1B,1.0
37786,Josh Jung,TEX,3B,1.0
40505,Carter Jensen,KCR,C,1.0
33645,Xavier Edwards,MIA,SS,1.0
38367,Owen Caissie,MIA,OF,1.0
36738,Isaac Collins,KCR,OF,1.0
38350,Edouard Julien,COL,2B,1.0
31687,Sean Murphy,ATL,C,1.0
42304,Chase Meidroth,CHW,SS,1.0
38366,Jordan Walker,STL,OF,1.0
32576,Gavin Lux,TBR,2B,1.0
18522,Jake Bauers,MIL,OF,1.0
35450,Parker Meadows,DET,OF,1.0
40284,Connor Norby,MIA,3B,1.0
45714,Cam Smith,HOU,OF,1.0
36984,Jared Triolo,PIT,SS,1.0
33620,Brady Singer,CIN,SP,1.0
42110,Kumar Rocker,TEX,RP/SP,1.0
35367,Taj Bradley,MIN,RP/SP,1.0